?s	?nap_id	?class	?napralert_code	?name	?eq	?comment	?partof	?subclasses
<https://www.napralert.org/data/animal/120>	120	<http://www.w3.org/2002/07/owl#Class>	C3	CASSOWARY				NCBITaxon_8786
<https://www.napralert.org/data/animal/175>	175	<http://www.w3.org/2002/07/owl#Class>	FT	TROUT		Not precise enough. (J.B.)		NCBITaxon_504568
<https://www.napralert.org/data/animal/184>	184	<http://www.w3.org/2002/07/owl#Class>	GO	GERBIL(OVARIECTOMIZED)				NCBITaxon_10045|PATO_0002380
<https://www.napralert.org/data/animal/36>	36	<http://www.w3.org/2002/07/owl#Class>	RG	RAT(PUBERTAL)				NCBITaxon_10114
<https://www.napralert.org/data/animal/17>	17	<http://www.w3.org/2002/07/owl#Class>	PI	PISASTER GIGANTEUS(SEA STAR)				NCBITaxon_189915
<https://www.napralert.org/data/animal/44>	44	<http://www.w3.org/2002/07/owl#Class>	RR	RABBIT(OVARIECTOMIZED)				PATO_0002380|NCBITaxon_9979
<https://www.napralert.org/data/animal/218>	218	<http://www.w3.org/2002/07/owl#Class>	L	LOBSTER				NCBITaxon_6704
<https://www.napralert.org/data/animal/235>	235	<http://www.w3.org/2002/07/owl#Class>	M7	LANGUR(PREGNANT)				UBERON_0009097|NCBITaxon_9569
<https://www.napralert.org/data/animal/208>	208	<http://www.w3.org/2002/07/owl#Class>	HY	HYENA				NCBITaxon_9676
<https://www.napralert.org/data/animal/126>	126	<http://www.w3.org/2002/07/owl#Class>	C9	CAMEL		Ambiguous (J.B.)		NCBITaxon_9836
<https://www.napralert.org/data/animal/8>	8	<http://www.w3.org/2002/07/owl#Class>	OX	OX				PATO_0000384|PATO_0002367|NCBITaxon_9913|UBERON_0007023
<https://www.napralert.org/data/animal/247>	247	<http://www.w3.org/2002/07/owl#Class>	MK	MICROTUS PINETORUM				NCBITaxon_111839
<https://www.napralert.org/data/animal/28>	28	<http://www.w3.org/2002/07/owl#Class>	PV	GOAT(PREGNANT)				UBERON_0009097|NCBITaxon_9923
<https://www.napralert.org/data/animal/2>	2	<http://www.w3.org/2002/07/owl#Class>	CZ	CHICK				PATO_0000309|NCBITaxon_9031
<https://www.napralert.org/data/animal/51>	51	<http://www.w3.org/2002/07/owl#Class>	SG	GUINEA PIG(SPAYED)				NCBITaxon_10141|PATO_0002380
<https://www.napralert.org/data/animal/203>	203	<http://www.w3.org/2002/07/owl#Class>	HT	POULTRY				NCBITaxon_8976
<https://www.napralert.org/data/animal/214>	214	<http://www.w3.org/2002/07/owl#Class>	JR	JIRD(MERIONES UNGUICULATUS)				NCBITaxon_10047
<https://www.napralert.org/data/animal/185>	185	<http://www.w3.org/2002/07/owl#Class>	GP	GUINEA PIG				NCBITaxon_10141
